Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59140
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59140
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59141, Destination Port: 443
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59141, Destination Port: 443
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59141, Destination Port: 443
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59140, Destination Port: 443
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59140
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59141
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59140, Destination Port: 443
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59140, Destination Port: 443
Source IP: 172.20.10.6, Destination IP: 20.42.73.26, Source Port: 59140, Destination Port: 443
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59140
Source IP: 20.42.73.26, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59140
Source IP: 172.20.10.6, Destination IP: 20.212.88.117, Source Port: 59024, Destination Port: 443
Source IP: 20.212.88.117, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59024
Source IP: 172.20.10.6, Destination IP: 52.123.160.133, Source Port: 59040, Destination Port: 443
Source IP: 172.20.10.6, Destination IP: 52.123.160.133, Source Port: 59040, Destination Port: 443
Source IP: 52.123.160.133, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59040
Source IP: 172.20.10.6, Destination IP: 52.123.160.133, Source Port: 59040, Destination Port: 443
Source IP: 52.123.160.133, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59040
Source IP: 172.20.10.6, Destination IP: 3.224.149.20, Source Port: 59021, Destination Port: 443
Source IP: 3.224.149.20, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59021
Source IP: 172.20.10.6, Destination IP: 20.37.198.118, Source Port: 59142, Destination Port: 443
Source IP: 20.37.198.118, Destination IP: 172.20.10.6, Source Port: 443, Destination Port: 59142
